📊 *CSE Live Movements* — 2026-05-25 14:43 IST (2/3)

```
Ticker        Price     Change      Vol
────────────────────────────────────────
🟢 COMB       206.25     +1.60%   351.0K
🟢 SEYB        69.70     +1.60%   149.0K
🟢 ACL        100.00     +1.63%   221.2K
🟢 SPEN       136.00     +1.68%     8.6K
🟢 ODEL        12.00     +1.69%    27.8K
🟢 VLL         23.80     +1.71%    26.6K
🟢 SIRA        29.50     +1.72%   806.4K
🟢 LPL         11.60     +1.75%     7.7K
🟢 AMF         56.20     +1.81%    30.8K
🟢 LHL         72.60     +1.82%      514
🟢 LUMX        11.10     +1.83%   114.2K
🟢 CDB         43.80     +1.86%    21.0K
🟢 LHCL       107.75     +1.89%    23.0K
🟢 LGL         58.80     +1.91%    78.4K
🟢 FCT         32.00     +1.91%    21.5K
🟢 SEYB       105.75     +1.93%    21.3K
🟢 HAYC       142.75     +1.96%   202.3K
🟢 HEXP       129.00     +1.98%    54.6K
🟢 LFIN       167.00     +1.98%    69.5K
🟢 TILE        45.80     +2.00%    11.8K
🟢 SLTL        84.80     +2.05%    12.1K
🟢 LLUB       198.75     +2.05%    13.2K
🟢 BUKI       895.25     +2.08%      194
🟢 CTLD        39.10     +2.09%     3.9K
🟢 RCH        222.00     +2.19%      146
🟢 NDB        113.50     +2.25%    93.7K
🟢 NTB        317.00     +2.26%    94.7K
🟢 DFCC       134.00     +2.29%    84.8K
🟢 MBSL        13.40     +2.29%   139.1K
🟢 AGAL        55.90     +2.38%    36.5K
🟢 ATLL        25.50     +2.41%     2.6K
🟢 HNBF         8.40     +2.44%    27.5K
🟢 WIND        46.10     +2.44%    57.5K
🟢 MERC        29.30     +2.45%    88.1K
🟢 CINS     3,100.00     +2.46%     1.0K
🟢 KHL         16.60     +2.47%   319.6K
🟢 SFCL       419.50     +2.50%      351
🟢 LGL         45.00     +2.51%     7.2K
🟢 LOLC       564.00     +2.55%     4.5K
🟢 COOP         4.00     +2.56%     1.5M
🟢 MGT         32.00     +2.56%   219.8K
🟢 HDFC        76.00     +2.56%   237.7K
🟢 JAT         39.90     +2.57%   244.4K
🟢 RHL         39.90     +2.57%      318
🟢 RWSL        19.70     +2.60%    51.8K
🟢 OSEA        51.10     +2.61%   289.3K
🟢 KHC         15.40     +2.67%     3.2K
🟢 PEG         38.00     +2.70%     4.2K
🟢 PHAR       161.25     +2.71%      539
🟢 CONN        29.80     +2.76%     4.4K
🟢 BRWN       158.00     +2.76%    11.7K
🟢 AAF         59.10     +2.78%    51.0K
🟢 ONAL        48.00     +2.78%     7.1K
🟢 AEL         77.10     +2.80%   590.1K
🟢 EMER        14.50     +2.84%   117.1K
🟢 HNB        335.00     +2.84%    77.3K
🟢 COMB       192.50     +2.94%    51.6K
🟢 ELPL       189.50     +2.99%     6.3K
🟢 TAP         34.20     +3.01%    79.0K
🟢 ASCO        51.00     +3.03%    84.3K
🟢 CRL          6.80     +3.03%   851.1K
🟢 JXG         13.30     +3.10%     1.8M
🟢 UBC         13.30     +3.10%    19.9K
🟢 COCO        29.90     +3.10%    35.8K
🟢 CARS       800.00     +3.16%      784
🟢 DIMO     1,398.25     +3.19%     1.4K
🟢 KGAL       159.75     +3.23%     5.6K
🟢 ASHO     2,840.25     +3.28%      657
🟢 HVA          6.20     +3.33%     2.4M
🟢 CIND       229.00     +3.39%      816
🟢 CIC         33.20     +3.43%   148.2K
🟢 PARQ        78.30     +3.43%    61.9K
🟢 PLR         47.30     +3.50%   375.8K
🟢 ALUM        17.70     +3.51%   416.0K
🟢 CTBL        11.80     +3.51%    51.2K
🟢 NHL         14.60     +3.55%   124.8K
🟢 LWL         49.50     +3.56%    23.9K
🟢 SIGV        14.50     +3.57%    34.7K
🟢 CFVF        54.70     +3.60%    44.6K
🟢 AAIC        92.00     +3.60%   964.1K
🟢 ATL         22.50     +3.69%    65.0K
🟢 LOFC         5.60     +3.70%     1.6M
🟢 COCR       125.25     +3.73%    86.0K
🟢 CSD         27.80     +3.73%     2.6K
🟢 CWM         41.50     +3.75%    36.7K
🟢 WAPO        24.90     +3.75%    41.8K
🟢 JKL         83.00     +3.75%      879
🟢 DOCK       137.50     +3.77%   655.1K
🟢 EBCR        49.00     +3.81%    33.9K
🟢 CFLB        69.60     +3.88%     2.0K
🟢 SINS        73.90     +3.94%   107.4K
🟢 TAJ         34.30     +3.94%      595
🟢 MFPE        18.40     +3.95%   595.6K
────────────────────────────────────────
Showing 93 changed stocks | Sorted: Ascending
```
_Unchanged stocks hidden | Next update in 5 min_
