📊 *CSE Live Movements* — 2026-05-25 14:43 IST (1/3)

```
Ticker        Price     Change      Vol
────────────────────────────────────────
🔴 AUTO       324.75     -6.95%     1.8K
🔴 TESS         1.40     -6.67%   266.5K
🔴 HBS         24.80     -6.42%   891.2K
🔴 AINS        28.60     -4.03%      619
🔴 UDPL       152.75     -3.48%      177
🔴 CFI        389.00     -2.51%     1.0K
🔴 REXP       404.25     -2.47%     1.7K
🔴 MDL         22.50     -2.17%    18.3K
🔴 DIPD        56.80     -1.90%   591.0K
🔴 ECL         15.90     -1.85%    13.7K
🔴 TSML        41.30     -1.67%     9.6K
🔴 PMB         12.30     -1.60%    44.9K
🔴 RICH        31.90     -1.54%    24.6K
🔴 SOY      2,403.75     -1.50%      456
🔴 CARE        47.00     -1.26%     9.2K
🔴 LCEY        41.50     -1.19%    11.1K
🔴 CHMX       165.00     -0.90%    14.9K
🔴 MCPL        52.00     -0.76%    31.4K
🔴 CALC        13.20     -0.75%      115
🔴 ABL         27.00     -0.74%   372.9K
🔴 LVEN        58.20     -0.68%     2.6K
🔴 UAL         72.50     -0.55%    12.4K
🔴 TAFL       617.00     -0.48%    34.9K
🔴 PLC         22.00     -0.45%     1.1M
🔴 RPBH        52.80     -0.38%      711
🔴 BOPL        76.50     -0.26%      510
🔴 AFSL        99.80     -0.20%      290
🔴 HAPU        57.40     -0.17%      651
🔴 CTC      1,825.25     -0.08%     4.5K
🟢 ETWO        67.00     +0.15%     9.1K
🟢 TKYO        90.20     +0.22%    54.0K
🟢 TYRE        88.80     +0.23%    13.0K
🟢 RGEM       157.25     +0.32%     3.2K
🟢 CTHR       580.00     +0.39%     4.0K
🟢 KFP        170.00     +0.44%    24.0K
🟢 BFL         87.00     +0.46%   130.0K
🟢 ALLI       347.00     +0.51%     1.4K
🟢 MELS       187.25     +0.54%    31.3K
🟢 LIOC       139.00     +0.54%   137.6K
🟢 PAP         18.50     +0.54%   167.2K
🟢 MASK        71.80     +0.56%     4.4K
🟢 DPL         16.80     +0.60%   103.5K
🟢 CIT        423.00     +0.65%      292
🟢 NTB        406.75     +0.68%      180
🟢 PALM        55.90     +0.72%      339
🟢 ABAN     1,122.25     +0.74%      550
🟢 CSLK        13.50     +0.75%   202.8K
🟢 WLTH        13.40     +0.75%   223.0K
🟢 RHL         52.40     +0.77%   101.3K
🟢 HNB        403.50     +0.81%    22.8K
🟢 CHL         61.40     +0.82%    11.7K
🟢 MADU        12.00     +0.84%     6.1K
🟢 NEH      4,570.00     +0.84%      108
🟢 EAST        58.50     +0.86%     9.8K
🟢 CARG       690.00     +0.88%     1.8K
🟢 HASU       142.00     +0.89%   359.7K
🟢 EDEN        11.10     +0.91%    48.2K
🟢 VONE        98.80     +0.92%    41.5K
🟢 CINV       106.50     +0.95%    15.8K
🟢 TJL         31.60     +0.96%     5.1M
🟢 CALT        52.00     +0.97%    23.6K
🟢 HPWR         9.90     +1.02%    71.9K
🟢 CALU         9.80     +1.03%     2.8K
🟢 WATA        49.00     +1.03%   299.2K
🟢 UML         29.00     +1.05%   737.2K
🟢 KOTA         9.40     +1.08%   463.0K
🟢 RCL         46.70     +1.08%   418.8K
🟢 LALU        46.50     +1.09%    38.4K
🟢 LPL          9.30     +1.09%     6.2K
🟢 HNBF         9.20     +1.10%     1.0M
🟢 BALA        61.70     +1.15%    21.7K
🟢 MSL        197.50     +1.15%      583
🟢 BOGA       131.50     +1.15%     8.3K
🟢 HPL         25.90     +1.17%    34.0K
🟢 CBNK         8.50     +1.19%     1.2M
🟢 MRH         16.90     +1.20%     3.1K
🟢 VFIN        92.60     +1.20%    84.2K
🟢 GRAN       450.25     +1.24%     5.8K
🟢 DIST        56.90     +1.25%    46.1K
🟢 GHLL        16.20     +1.25%     2.7K
🟢 KVAL        87.10     +1.28%     4.9K
🟢 SERV        15.20     +1.33%   129.8K
🟢 SAMP       145.00     +1.40%   297.2K
🟢 CFIN       235.50     +1.40%    84.4K
🟢 PINS        28.90     +1.40%     5.5K
🟢 PKME       160.25     +1.42%    21.7K
🟢 HOPL        56.70     +1.43%    10.4K
🟢 TKYO        70.00     +1.45%   126.1K
🟢 PACK        13.70     +1.48%    58.6K
🟢 PABC        54.80     +1.48%   110.5K
🟢 HAYL       238.25     +1.49%    66.7K
🟢 JKH         20.30     +1.50%     1.6M
🟢 RAL         13.50     +1.50%     2.3M
────────────────────────────────────────
Showing 93 changed stocks | Sorted: Ascending
```
_Unchanged stocks hidden | Next update in 5 min_
