1:Changed stocks found: 252
2:Chunks: 3
4:--- Chunk 1/3 (3997 chars, 93 stocks) ---
5:? *CSE Live Movements* ? 2026-05-25 10:14 IST (1/3)
7:```
8:Ticker        Price     Change      Vol
9:????????????????????????????????????????
155:? CIC         26.00     +2.77%   289.7K
156:? BFL         89.00     +2.77%    18.6K
157:? CCS        128.50     +2.80%   125.3K
158:? HNB        335.00     +2.84%    23.2K
159:? PLR         47.00     +2.84%    81.2K
160:? AGPL        18.00     +2.86%    12.5K
161:? LCBF         7.20     +2.86%   224.6K
162:? SIGV        14.40     +2.86%    25.3K
163:? PARQ        77.90     +2.91%     8.3K
164:? STAF        44.90     +2.98%     6.3K
165:? CSLK        13.80     +2.99%    72.8K
166:? ASCO        51.00     +3.03%    15.5K
167:? CINV       108.75     +3.08%     7.6K
168:? JXG         13.30     +3.10%     1.3M
169:? COCO        29.90     +3.10%     2.7K
170:? ABAN     1,148.75     +3.12%       27
171:? BERU         3.30     +3.12%    13.0K
172:? RWSL        19.80     +3.12%     9.2K
173:? MERC        29.50     +3.15%    17.1K
174:? OSEA        51.40     +3.21%    76.5K
175:? CFVF        54.50     +3.22%     8.7K
176:? KOTA         9.60     +3.23%   107.2K
177:? ELPL       190.00     +3.26%      310
178:? DIMO     1,400.00     +3.32%     1.1K
179:? AEL         77.50     +3.33%   211.2K
180:? TKYO        93.00     +3.33%    10.0K
181:? LION     1,850.00     +3.34%       27
182:? SEYB        70.90     +3.35%    11.2K
183:? CONN        30.00     +3.45%     2.8K
184:? AAF         59.50     +3.48%     9.9K
185:? CPRT        43.00     +3.61%    37.6K
186:? KHL         16.80     +3.70%    91.4K
187:? UBF          2.80     +3.70%   694.8K
188:? SCAP        13.80     +3.76%     1.2M
189:? DOCK       137.50     +3.77%   368.7K
190:? EBCR        49.00     +3.81%    20.5K
191:? LMF         92.50     +3.82%   158.9K
192:? DFCC       136.00     +3.82%    19.4K
193:? TAP         34.50     +3.92%    34.5K
194:? DIAL        38.80     +4.02%   256.4K
195:? NAMU        74.90     +4.03%     1.6K
196:? CIC         33.40     +4.05%    41.2K
197:? CSD         27.90     +4.10%       28
198:? JAT         40.50     +4.11%    17.5K
199:? SDB         54.90     +4.17%       75
200:? PINS        29.70     +4.21%        1
201:? WIND        46.90     +4.22%    19.9K
202:? EML          9.70     +4.30%    51.5K
203:? COLO        43.00     +4.37%     5.9K
204:? JKL         83.50     +4.38%      200
205:? SMOT     1,192.50     +4.38%        3
206:? CFI        416.50     +4.39%      386
207:????????????????????????????????????????
208:Showing 93 changed stocks | Sorted: Ascending
209:```
210:_Unchanged stocks hidden | Next update in 5 min_
212:--- Chunk 3/3 (2917 chars, 66 stocks) ---
213:? *CSE Live Movements* ? 2026-05-25 10:14 IST (3/3)
215:```
216:Ticker        Price     Change      Vol
217:????????????????????????????????????????
218:? AAIC        92.70     +4.39%    53.4K
219:? RIL         26.10     +4.40%   405.1K
220:? CFLB        70.00     +4.48%      120
221:? HHL         32.40     +4.52%   117.4K
222:? KVAL        89.90     +4.53%     1.1K
223:? BRWN       160.75     +4.55%     6.7K
224:? RGEM       164.00     +4.63%     1.0K
225:? SUN         31.40     +4.67%    29.7K
226:? ALUM        17.90     +4.68%    40.3K
227:? CDB         33.50     +4.69%   189.2K
228:? MULL         2.20     +4.76%   196.9K
229:? TKYO        72.30     +4.78%    19.4K
230:? MEL          6.50     +4.84%    48.3K
231:? LPRT       724.75     +4.85%        1
232:? TAJ         34.60     +4.85%       25
233:? KPHL        23.50     +4.91%    26.7K
234:? NHL         14.80     +4.96%    37.6K
235:? KZOO        10.50     +5.00%   550.7K
236:? LVEF         8.20     +5.13%    26.6K
237:? GLAS        54.90     +5.17%    33.2K
238:? APLA       145.75     +5.23%     1.8K
239:? HELA         2.00     +5.26%     1.0M
240:? TESS         2.00     +5.26%   281.1K
241:? MHDL         9.80     +5.38%     4.8K
242:? RHL         41.00     +5.40%      140
243:? SFIN        52.00     +5.48%     1.5K
244:? SINS        75.00     +5.49%    32.8K
245:? ATL         22.90     +5.53%    44.3K
246:? LOFC         5.70     +5.56%   900.0K
247:? CINS     1,584.00     +5.56%       81
248:? CWM         42.30     +5.75%    25.8K
249:? KCAB       114.00     +5.80%    13.3K
250:? CIT        445.00     +5.89%      131
251:? AGST        14.00     +6.06%     1.4M
252:? ASIY        13.80     +6.15%   110.8K
253:? ASIR        39.30     +6.22%    23.5K
254:? WAPO        25.50     +6.25%    20.8K
255:? CALF       154.75     +6.36%      556
256:? PHAR       167.00     +6.37%      151
257:? HSIG        77.90     +6.57%      100
258:? HVA          6.40     +6.67%   979.1K
259:? LITE        45.90     +6.74%    10.4K
260:? BFN         37.50     +6.84%     1.1K
261:? CLND        59.90     +6.96%   115.1K
262:? REEF         4.60     +6.98%   515.5K
263:? CTLD        41.00     +7.05%      500
264:? GEST       344.75     +7.07%     3.3K
265:? ONAL        50.00     +7.07%      761
266:? AGST        12.90     +7.50%     8.5K
267:? CITH         5.60     +7.69%     1.1M
268:? SHL         14.00     +7.69%   448.3K
269:? VLL         19.60     +7.69%       35
270:? SHAW       305.00     +7.77%    48.6K
271:? BPPL        20.60     +7.85%     5.0K
272:? AMSL        20.40     +7.94%    88.0K
273:? SIL        498.50     +8.13%       50
274:? EXT         14.10     +9.30%    20.3K
275:? KAHA        19.80     +9.39%    18.5K
276:? AFS         34.60     +9.49%    13.7K
277:? RENU       889.75     +9.61%       11
278:? ACME         6.00    +11.11%     5.5M
279:? CHOT        35.00    +11.11%    31.8K
280:? SLND     3,380.00    +11.40%       12
281:? CWL         20.70    +15.00%    26.9K
282:? PARA       823.75    +17.68%      221
283:? UCAR     3,400.00    +18.64%     2.0K
284:????????????????????????????????????????
285:Showing 66 changed stocks | Sorted: Ascending
286:```
287:_Unchanged stocks hidden | Next update in 5 min_
289:Done! 3 message(s) ready.
