Changed stocks found: 254
Chunks: 3

--- Chunk 1/3 (3997 chars, 93 stocks) ---
? *CSE Live Movements* ? 2026-05-25 10:51 IST (1/3)

```
Ticker        Price     Change      Vol
? COMB       192.75     +3.07%    21.5K
? CINV       108.75     +3.08%     7.6K
? HNB        336.00     +3.15%    28.1K
? MERC        29.50     +3.15%    36.8K
? CCS        129.00     +3.20%   325.9K
? GUAR       237.50     +3.26%        1
? ELPL       190.00     +3.26%      310
? DIMO     1,400.00     +3.32%     1.1K
? TKYO        93.00     +3.33%    10.9K
? LION     1,850.00     +3.34%       80
? MARA         6.00     +3.45%    49.6K
? COCO        30.00     +3.45%     2.8K
? AAF         59.50     +3.48%    12.4K
? CTBL        11.80     +3.51%    30.4K
? TKYO        71.50     +3.62%    24.2K
? RWSL        19.90     +3.65%    10.2K
? KHL         16.80     +3.70%   217.2K
? LOFC         5.60     +3.70%     1.1M
? CSD         27.80     +3.73%     2.0K
? CONN        30.10     +3.79%     2.9K
? EBCR        49.00     +3.81%    22.5K
? HHL         32.20     +3.87%   646.0K
? NTB        419.75     +3.90%       25
? KZOO        10.40     +4.00%   990.6K
? SERV        15.60     +4.00%    90.6K
? NAMU        74.90     +4.03%     1.7K
? KGAL       161.00     +4.04%     5.6K
? JAT         40.50     +4.11%    19.8K
? AAIC        92.50     +4.17%    69.8K
? SDB         54.90     +4.17%       75
? PINS        29.70     +4.21%      101
? EMER        14.70     +4.26%    87.9K
? NHL         14.70     +4.26%    41.8K
? EML          9.70     +4.30%   145.8K
? COLO        43.00     +4.37%     5.9K
? JKL         83.50     +4.38%      200
? SMOT     1,192.50     +4.38%        3
? LMF         93.00     +4.38%   256.7K
? CFI        416.50     +4.39%      386
????????????????????????????????????????
Showing 93 changed stocks | Sorted: Ascending
```
_Unchanged stocks hidden | Next update in 5 min_

--- Chunk 3/3 (2997 chars, 68 stocks) ---
? *CSE Live Movements* ? 2026-05-25 10:51 IST (3/3)

```
Ticker        Price     Change      Vol
????????????????????????????????????????
? AFS         33.00     +4.43%    22.6K
? CFLB        70.00     +4.48%      120
? KVAL        89.90     +4.53%     1.2K
? BRWN       160.75     +4.55%     6.7K
? DIAL        39.00     +4.56%   441.3K
? GLAS        54.60     +4.60%    33.8K
? REEF         4.50     +4.65%   554.1K
? UBC         13.50     +4.65%     6.1K
? CDB         33.50     +4.69%   201.9K
? BPPL        20.00     +4.71%     5.0K
? RENU       850.00     +4.71%       21
? MULL         2.20     +4.76%   212.3K
? LPRT       724.75     +4.85%       14
? TAJ         34.60     +4.85%       25
? ASHO     2,885.00     +4.91%      449
? KPHL        23.50     +4.91%    37.8K
? CINS     1,575.00     +4.97%      107
? LVEF         8.20     +5.13%   111.3K
? SINS        74.80     +5.20%    44.3K
? SCAP        14.00     +5.26%     1.4M
? TESS         2.00     +5.26%   312.2K
? CITW         2.00     +5.26%   213.9K
? ASIY        13.70     +5.38%   138.0K
? RHL         41.00     +5.40%      140
? WAPO        25.30     +5.42%    26.2K
? SFIN        52.00     +5.48%     3.3K
? KCAB       113.75     +5.57%    15.8K
? RIL         26.40     +5.60%     1.0M
? CPRT        43.90     +5.78%    55.3K
? CIT        445.00     +5.89%      148
? RGEM       166.00     +5.90%     1.3K
? ATL         23.00     +5.99%    56.8K
? CWM         42.40     +6.00%    26.5K
? SUN         31.80     +6.00%    41.3K
? CALF       154.75     +6.36%      856
? PHAR       167.00     +6.37%      151
? SIGV        14.90     +6.43%    31.2K
